Month,Flu outbreak
2015-09,3
2015-10,3
2015-11,3
2015-12,3
2016-01,4
2016-02,6
2016-03,6
2016-04,3
2016-05,2
2016-06,2
2016-07,1
2016-08,1
2016-09,2
2016-10,2
2016-11,3
2016-12,3
2017-01,7
2017-02,10
2017-03,5
2017-04,3
2017-05,3
2017-06,2
2017-07,3
2017-08,2
2017-09,3
2017-10,3
2017-11,3
2017-12,9
2018-01,46
2018-02,20
2018-03,4
2018-04,3
2018-05,3
2018-06,2
2018-07,2
2018-08,2
2018-09,4
2018-10,5
2018-11,4
2018-12,4
2019-01,7
2019-02,9
2019-03,6
2019-04,4
2019-05,3
2019-06,2
2019-07,2
2019-08,2
2019-09,4
2019-10,4
2019-11,6
2019-12,7
2020-01,21
2020-02,21
2020-03,100
2020-04,25
2020-05,11
2020-06,5
2020-07,8
2020-08,5
2020-09,4
2020-10,5
2020-11,4
2020-12,4
2021-01,4
2021-02,3
2021-03,2
2021-04,3
2021-05,3
2021-06,3
2021-07,2
2021-08,4
2021-09,3
2021-10,2
2021-11,6
2021-12,22
2022-01,5
2022-02,20
2022-03,5
2022-04,15
2022-05,5
2022-06,2
2022-07,2
2022-08,6
2022-09,2
2022-10,11
2022-11,5
2022-12,6
2023-01,6
2023-02,4
2023-03,4
2023-04,3
2023-05,3
2023-06,2
2023-07,2
2023-08,2
2023-09,2
2023-10,3
2023-11,4
2023-12,4
2024-01,4
2024-02,4
2024-03,3
2024-04,5
2024-05,5
2024-06,3
2024-07,11
2024-08,3
2024-09,3
