Month,flu vaccine
2015-09,30
2015-10,53
2015-11,24
2015-12,13
2016-01,8
2016-02,9
2016-03,8
2016-04,6
2016-05,4
2016-06,4
2016-07,4
2016-08,8
2016-09,28
2016-10,36
2016-11,18
2016-12,12
2017-01,12
2017-02,12
2017-03,8
2017-04,6
2017-05,4
2017-06,5
2017-07,4
2017-08,12
2017-09,29
2017-10,42
2017-11,25
2017-12,23
2018-01,46
2018-02,33
2018-03,9
2018-04,7
2018-05,5
2018-06,4
2018-07,5
2018-08,10
2018-09,34
2018-10,57
2018-11,28
2018-12,16
2019-01,17
2019-02,15
2019-03,10
2019-04,7
2019-05,5
2019-06,5
2019-07,4
2019-08,9
2019-09,33
2019-10,58
2019-11,28
2019-12,21
2020-01,27
2020-02,24
2020-03,43
2020-04,29
2020-05,26
2020-06,11
2020-07,20
2020-08,38
2020-09,75
2020-10,76
2020-11,50
2020-12,59
2021-01,45
2021-02,32
2021-03,36
2021-04,36
2021-05,25
2021-06,14
2021-07,21
2021-08,51
2021-09,88
2021-10,100
2021-11,69
2021-12,45
2022-01,32
2022-02,14
2022-03,10
2022-04,9
2022-05,8
2022-06,7
2022-07,7
2022-08,13
2022-09,50
2022-10,80
2022-11,56
2022-12,38
2023-01,14
2023-02,10
2023-03,9
2023-04,7
2023-05,7
2023-06,6
2023-07,6
2023-08,18
2023-09,61
2023-10,72
2023-11,44
2023-12,27
2024-01,19
2024-02,12
2024-03,9
2024-04,8
2024-05,7
2024-06,8
2024-07,8
2024-08,21
2024-09,56
