Month,sore throat
2015-09,36
2015-10,33
2015-11,36
2015-12,41
2016-01,41
2016-02,43
2016-03,41
2016-04,40
2016-05,37
2016-06,33
2016-07,28
2016-08,30
2016-09,37
2016-10,32
2016-11,39
2016-12,44
2017-01,40
2017-02,45
2017-03,40
2017-04,41
2017-05,42
2017-06,37
2017-07,32
2017-08,33
2017-09,39
2017-10,36
2017-11,45
2017-12,53
2018-01,53
2018-02,51
2018-03,44
2018-04,40
2018-05,42
2018-06,37
2018-07,32
2018-08,37
2018-09,39
2018-10,38
2018-11,43
2018-12,49
2019-01,48
2019-02,49
2019-03,47
2019-04,44
2019-05,46
2019-06,39
2019-07,31
2019-08,35
2019-09,41
2019-10,40
2019-11,46
2019-12,55
2020-01,52
2020-02,54
2020-03,100
2020-04,55
2020-05,34
2020-06,37
2020-07,53
2020-08,42
2020-09,40
2020-10,42
2020-11,45
2020-12,45
2021-01,37
2021-02,35
2021-03,36
2021-04,42
2021-05,43
2021-06,42
2021-07,50
2021-08,60
2021-09,62
2021-10,57
2021-11,65
2021-12,81
2022-01,89
2022-02,45
2022-03,51
2022-04,53
2022-05,63
2022-06,61
2022-07,61
2022-08,57
2022-09,60
2022-10,63
2022-11,73
2022-12,79
2023-01,61
2023-02,60
2023-03,59
2023-04,53
2023-05,55
2023-06,46
2023-07,40
2023-08,46
2023-09,52
2023-10,52
2023-11,59
2023-12,72
2024-01,56
2024-02,58
2024-03,53
2024-04,49
2024-05,48
2024-06,44
2024-07,38
2024-08,42
2024-09,47
